Lines;start_station;destination;;;;;;;
16;East Huinan;Shuyuan;;;;;;;
16;Shuyuan;Lingang Avenue;;;;;;;
16;Lingang Avenue;Dishui Lake;;;;;;;
17;Hongqiao Railway Station;Zhuguang Road;;;;;;;
17;Zhuguang Road;Panlong Road;;;;;;;
17;Panlong Road;Xuying Road;;;;;;;
17;Xuying Road;Xujingbeicheng;;;;;;;
17;Xujingbeicheng;Middle Jiasong Road;;;;;;;
17;Middle Jiasong Road;Zhaoxiang;;;;;;;
17;Zhaoxiang;Huijin Road;;;;;;;
17;Huijin Road;Qingpu Xincheng;;;;;;;
17;Qingpu Xincheng;Caoying Road;;;;;;;
17;Caoying Road;Dianshanhu Avenue;;;;;;;
17;Dianshanhu Avenue;Zhujiajiao;;;;;;;
17;Zhujiajiao;Oriental Land;;;;;;;
18;South Changjiang Road;Yingao Road;;;;;;;
18;Yingao Road;Shanghai University of Finance and Economics;;;;;;;
18;Shanghai University of Finance and Economics;Fudan University;;;;;;;
18;Fudan University;Guoquan Road;;;;;;;
18;Guoquan Road;Fushun Road;;;;;;;
18;Fushun Road;Jiangpu Road;;;;;;;
18;Jiangpu Road;Jiangpu Park;;;;;;;
18;Jiangpu Park;Pingliang Road;;;;;;;
18;Pingliang Road;Danyang Road;;;;;;;
